City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
10,Cape Town,ZA,75.11,overcast clouds,-33.9258,18.4232,Townhouse Hotel
15,Caravelas,BR,73.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
16,Necochea,AR,70.05,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
18,Port Elizabeth,ZA,73.31,overcast clouds,-33.918,25.5701,Waterford Hotel
21,Piacabucu,BR,77.83,overcast clouds,-10.4056,-36.4344,O Leão
29,Batticaloa,LK,79.07,overcast clouds,7.7102,81.6924,Lake View Hotel
33,Richards Bay,ZA,75.43,overcast clouds,-28.783,32.0377,Protea Hotel
45,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Page 63 hostel
52,Omboue,GA,77.31,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
56,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
59,Owerri,NG,73.4,overcast clouds,5.4833,7.0304,Hotel Owerri
63,Natal,BR,74.05,few clouds,-5.795,-35.2094,Natal Palace Hotel
65,Hermanus,ZA,71.8,overcast clouds,-34.4187,19.2345,Aloe guest house
67,Villamontes,BO,76.23,clear sky,-21.25,-63.5,Hoterma
72,Morondava,MG,78.31,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
77,Jaru,BR,71.55,overcast clouds,-10.4389,-62.4664,Hotel avenida
84,Robertsport,LR,77.86,broken clouds,6.7533,-11.3686,Nana's Lodge
86,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
88,Sao Joao Da Barra,BR,74.53,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
90,La Asuncion,VE,74.79,scattered clouds,11.0333,-63.8628,Hotel La Ciudad
92,Iguape,BR,75.0,overcast clouds,-24.7081,-47.5553,Pousada dos Lampiões
94,Mandera,KE,73.8,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
96,Chacabuco,AR,81.82,scattered clouds,-34.6417,-60.4739,Hotel Postal
98,Saint-Pierre,RE,84.56,clear sky,-21.3393,55.4781,Tropic Hotel
101,Domoni,KM,79.56,light rain,-12.2569,44.5319,Hotel Djadid
103,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,Le Baril
106,Hithadhoo,MV,80.78,clear sky,-0.6,73.0833,Pebbles Inn
107,Grand Gaube,MU,81.37,light rain,-20.0064,57.6608,Coco Villa
109,Vangaindrano,MG,75.88,broken clouds,-23.35,47.6,Fanilo
112,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
116,Port Blair,IN,80.64,haze,11.6667,92.75,Andaman Ocean Breeze
119,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
123,Salalah,OM,71.69,scattered clouds,17.0151,54.0924,Muscat International Hotel
125,Cidreira,BR,73.67,overcast clouds,-30.1811,-50.2056,Hotel Castelo
131,Dzaoudzi,YT,82.29,few clouds,-12.7887,45.2699,2.0 hôtel
135,Morant Bay,JM,76.62,broken clouds,17.8815,-76.4093,Morant Villas
