City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mbandaka,CD,2023-01-18 04:12:53,0.0487,18.2603,69.49,88,64,3.4,broken clouds
1,Upernavik,GL,2023-01-18 04:09:44,72.7868,-56.1549,-12.21,94,100,6.44,overcast clouds
2,Plouzane,FR,2023-01-18 04:11:28,48.3833,-4.6167,37.58,87,75,16.11,light intensity drizzle
3,Atasu,KZ,2023-01-18 04:12:54,48.6814,71.6433,0.32,89,13,7.9,few clouds
4,Jamestown,US,2023-01-18 04:10:19,42.097,-79.2353,39.02,72,100,11.5,mist
5,Ribeira Grande,PT,2023-01-18 04:12:56,38.5167,-28.7,55.78,83,27,8.99,scattered clouds
6,East London,ZA,2023-01-18 04:12:56,-33.0153,27.9116,75.99,89,92,6.15,overcast clouds
7,Lerwick,GB,2023-01-18 04:12:58,60.1545,-1.1494,37.4,66,94,19.86,overcast clouds
8,Ikauna,IN,2023-01-18 04:12:58,27.55,81.9667,55.83,57,1,1.48,clear sky
9,Berlevag,NO,2023-01-18 04:12:59,70.8578,29.0864,30.2,74,18,17.27,few clouds
10,Cape Town,ZA,2023-01-18 04:13:00,-33.9258,18.4232,75.11,74,99,5.99,overcast clouds
11,Bekovo,RU,2023-01-18 04:13:00,52.4663,43.712,18.64,91,100,11.05,overcast clouds
12,Ilulissat,GL,2023-01-18 04:13:01,69.2167,-51.1,-26.09,82,91,6.11,overcast clouds
13,Trstena,SK,2023-01-18 04:13:01,49.361,19.6125,33.58,98,100,2.73,light snow
14,Busselton,AU,2023-01-18 04:13:02,-33.65,115.3333,75.92,34,64,4.56,broken clouds
15,Caravelas,BR,2023-01-18 04:13:02,-17.7125,-39.2481,73.54,91,9,3.11,clear sky
16,Necochea,AR,2023-01-18 04:13:03,-38.5473,-58.7368,70.05,80,100,15.26,overcast clouds
17,Tazovskiy,RU,2023-01-18 04:13:03,67.4667,78.7,-10.5,97,100,16.67,light snow
18,Port Elizabeth,ZA,2023-01-18 04:13:04,-33.918,25.5701,73.31,99,100,3.0,overcast clouds
19,Ushuaia,AR,2023-01-18 04:11:32,-54.8,-68.3,48.72,94,100,6.6,overcast clouds
20,Ponta Do Sol,PT,2023-01-18 04:13:06,32.6667,-17.1,61.72,65,80,8.84,broken clouds
21,Piacabucu,BR,2023-01-18 04:13:07,-10.4056,-36.4344,77.83,81,100,7.43,overcast clouds
22,Krasnovishersk,RU,2023-01-18 04:09:55,60.4078,57.082,11.25,95,100,6.91,overcast clouds
23,Arraial Do Cabo,BR,2023-01-18 04:13:07,-22.9661,-42.0278,73.58,93,0,17.49,clear sky
24,Luderitz,NA,2023-01-18 04:13:08,-26.6481,15.1594,65.03,89,90,3.49,overcast clouds
25,Lydenburg,ZA,2023-01-18 04:13:09,-25.0978,30.4597,60.24,93,99,1.21,overcast clouds
26,Yar-Sale,RU,2023-01-18 04:13:10,66.8333,70.8333,8.24,96,100,6.38,overcast clouds
27,Faya,SA,2023-01-18 04:13:11,18.3851,42.4509,50.52,87,62,4.97,broken clouds
28,Rocha,UY,2023-01-18 04:08:26,-34.4833,-54.3333,63.97,93,0,5.46,clear sky
29,Batticaloa,LK,2023-01-18 04:13:12,7.7102,81.6924,79.07,72,91,13.44,overcast clouds
30,Codrington,AU,2023-01-18 04:13:13,-38.2667,141.9667,61.72,57,100,18.39,overcast clouds
31,Chuy,UY,2023-01-18 04:13:14,-33.6971,-53.4616,67.84,83,0,7.43,clear sky
32,Riyadh,SA,2023-01-18 04:12:21,24.6877,46.7219,48.34,77,81,11.3,broken clouds
33,Richards Bay,ZA,2023-01-18 04:13:16,-28.783,32.0377,75.43,81,96,11.3,overcast clouds
34,Mangrol,IN,2023-01-18 04:13:16,21.1167,70.1167,67.1,31,0,9.15,clear sky
35,Korla,CN,2023-01-18 04:13:17,41.7597,86.1469,9.82,83,6,2.39,clear sky
36,Rochegda,RU,2023-01-18 04:13:18,62.8,43.25,13.93,97,83,6.17,broken clouds
37,Saint George,US,2023-01-18 04:12:52,37.1041,-113.5841,41.43,77,75,4.0,broken clouds
38,Arkadak,RU,2023-01-18 04:13:20,51.9326,43.4978,20.82,93,100,12.41,overcast clouds
39,Tasiilaq,GL,2023-01-18 04:13:21,65.6145,-37.6368,10.56,70,62,9.01,broken clouds
40,Bilma,NE,2023-01-18 04:13:22,18.6853,12.9164,57.97,28,4,6.96,clear sky
41,Kruisfontein,ZA,2023-01-18 04:13:22,-34.0033,24.7314,70.88,71,100,1.81,overcast clouds
42,Nanortalik,GL,2023-01-18 04:13:22,60.1432,-45.2371,25.59,86,100,6.93,overcast clouds
43,Lubango,AO,2023-01-18 04:13:23,-14.9172,13.4925,60.55,85,100,0.2,overcast clouds
44,Hobyo,SO,2023-01-18 04:13:23,5.3505,48.5268,76.26,74,63,13.96,broken clouds
45,Georgetown,MY,2023-01-18 04:09:11,5.4112,100.3354,87.73,55,20,8.05,few clouds
46,Kalabo,ZM,2023-01-18 04:13:24,-14.97,22.6814,64.85,95,100,3.38,overcast clouds
47,Kostomuksha,RU,2023-01-18 04:14:24,64.571,30.5767,22.37,96,100,11.23,light snow
48,Victoria,HK,2023-01-18 04:10:01,22.2855,114.1577,64.26,55,87,11.01,overcast clouds
49,Port Alfred,ZA,2023-01-18 04:14:26,-33.5906,26.891,73.18,95,100,4.07,overcast clouds
50,Cabedelo,BR,2023-01-18 04:14:27,-6.9811,-34.8339,75.87,80,99,10.65,overcast clouds
51,Dikson,RU,2023-01-18 04:14:28,73.5069,80.5464,-11.97,73,100,11.21,overcast clouds
52,Omboue,GA,2023-01-18 04:14:28,-1.5746,9.2618,77.31,83,98,2.53,overcast clouds
53,Teguldet,RU,2023-01-18 04:14:28,57.3064,88.1667,-28.89,99,76,2.86,broken clouds
54,Alta Floresta,BR,2023-01-18 04:14:29,-9.8756,-56.0861,69.78,95,100,1.99,overcast clouds
55,Coquimbo,CL,2023-01-18 04:08:01,-29.9533,-71.3436,62.33,77,0,4.61,clear sky
56,Bathsheba,BB,2023-01-18 04:14:31,13.2167,-59.5167,77.61,73,40,11.5,scattered clouds
57,Harnosand,SE,2023-01-18 04:14:32,62.6323,17.9379,32.0,99,100,16.55,light snow
58,Pitanga,BR,2023-01-18 04:14:33,-24.7572,-51.7614,64.33,99,99,5.39,overcast clouds
59,Owerri,NG,2023-01-18 04:14:14,5.4833,7.0304,73.4,95,100,2.08,overcast clouds
60,Ostrovnoy,RU,2023-01-18 04:14:35,68.0531,39.5131,21.94,92,8,22.82,clear sky
61,Krasnoselkup,RU,2023-01-18 04:14:35,65.7,82.4667,-15.92,84,100,14.32,overcast clouds
62,Iroquois Falls,CA,2023-01-18 04:14:37,48.7669,-80.6831,28.83,98,100,5.21,light snow
63,Natal,BR,2023-01-18 04:14:37,-5.795,-35.2094,74.05,83,20,4.61,few clouds
64,Bandarbeyla,SO,2023-01-18 04:14:38,9.4942,50.8122,74.82,74,37,13.8,scattered clouds
65,Hermanus,ZA,2023-01-18 04:14:39,-34.4187,19.2345,71.8,88,98,3.98,overcast clouds
66,Henderson,US,2023-01-18 04:12:56,36.0397,-114.9819,51.24,46,100,11.5,overcast clouds
67,Villamontes,BO,2023-01-18 04:14:40,-21.25,-63.5,76.23,67,8,2.55,clear sky
68,Lusambo,CD,2023-01-18 04:14:41,-4.9667,23.45,66.79,93,100,2.13,overcast clouds
69,Iqaluit,CA,2023-01-18 04:14:17,63.7506,-68.5145,-7.31,63,100,3.0,overcast clouds
70,Kargasok,RU,2023-01-18 04:06:28,59.0556,80.8572,3.27,96,100,8.37,light snow
71,Maraa,BR,2023-01-18 04:14:43,-1.8333,-65.3667,69.53,99,96,2.62,moderate rain
72,Morondava,MG,2023-01-18 04:11:09,-20.2833,44.2833,78.31,82,39,6.91,scattered clouds
