City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2023-01-14 03:59:39,37.1041,-113.5841,52.39,54,0,9.22
1,Pitimbu,BR,2023-01-14 03:59:40,-7.4706,-34.8086,79.39,77,6,12.41
2,Torbay,CA,2023-01-14 03:59:40,47.6666,-52.7314,36.28,94,100,34.52
3,Port Elizabeth,ZA,2023-01-14 03:59:41,-33.918,25.5701,69.31,77,20,5.01
4,Mahebourg,MU,2023-01-14 03:59:42,-20.4081,57.7,80.26,73,75,9.22
5,Viradouro,BR,2023-01-14 03:59:42,-20.8731,-48.2969,67.82,97,95,3.33
6,Saint-Philippe,RE,2023-01-14 03:59:43,-21.3585,55.7679,81.99,77,92,10.51
7,Port Alfred,ZA,2023-01-14 03:59:43,-33.5906,26.891,69.19,93,82,3.31
8,Richards Bay,ZA,2023-01-14 03:59:44,-28.783,32.0377,73.9,88,5,9.46
9,Tabou,CI,2023-01-14 03:59:44,4.423,-7.3528,77.79,83,60,5.73
10,Cape Town,ZA,2023-01-14 03:59:45,-33.9258,18.4232,67.91,79,0,16.11
11,Namibe,AO,2023-01-14 03:59:46,-15.1961,12.1522,74.5,78,100,4.81
12,Victoria,HK,2023-01-14 03:59:47,22.2855,114.1577,77.97,92,75,1.01
13,Longyearbyen,SJ,2023-01-14 03:59:48,78.2186,15.6401,30.04,74,75,18.41
14,Santa Rosa,PH,2023-01-14 03:59:49,14.3122,121.1114,85.1,77,100,8.39
15,Touros,BR,2023-01-14 03:59:49,-5.1989,-35.4608,78.66,80,31,12.75
16,Lodja,CD,2023-01-14 03:59:50,-3.4833,23.4333,66.99,99,100,1.28
17,Iroquois Falls,CA,2023-01-14 03:59:51,48.7669,-80.6831,-16.89,100,20,2.73
18,Batticaloa,LK,2023-01-14 03:59:52,7.7102,81.6924,78.03,75,99,9.04
19,Opuwo,NA,2023-01-14 03:59:53,-18.0607,13.84,65.12,59,16,4.63
20,Tazovskiy,RU,2023-01-14 03:59:54,67.4667,78.7,-18.18,96,100,15.03
21,Klaksvik,FO,2023-01-14 03:59:55,62.2266,-6.589,32.92,79,100,23.58
22,Pokhvistnevo,RU,2023-01-14 03:59:55,53.6524,52.1274,-5.8,93,100,4.29
23,Adre,TD,2023-01-14 03:59:56,13.4667,22.2,58.06,22,13,10.18
24,Koratagere,IN,2023-01-14 03:59:57,13.5228,77.2331,70.56,41,99,3.89
25,Santa Cruz,BO,2023-01-14 03:55:23,-17.8,-63.1667,69.26,94,75,13.8
26,Souillac,MU,2023-01-14 03:59:59,-20.5167,57.5167,79.18,73,75,9.22
27,Nanortalik,GL,2023-01-14 04:00:00,60.1432,-45.2371,21.09,61,100,7.85
28,Ushuaia,AR,2023-01-14 04:00:01,-54.8,-68.3,40.39,93,48,3.22
29,Acari,PE,2023-01-14 04:00:03,-15.4311,-74.6158,72.57,77,2,1.81
30,Bambous Virieux,MU,2023-01-14 04:00:07,-20.3428,57.7575,80.22,71,51,12.03
31,Georgetown,MY,2023-01-14 04:00:10,5.4112,100.3354,85.93,70,20,4.61
32,Inongo,CD,2023-01-14 04:00:13,-1.95,18.2667,71.69,86,93,5.88
33,Mahanoro,MG,2023-01-14 04:00:20,-19.9,48.8,73.87,94,100,4.72
34,Ribeira Grande,PT,2023-01-14 04:00:22,38.5167,-28.7,59.77,96,100,8.01
35,Chinsali,ZM,2023-01-14 04:00:32,-10.5414,32.0816,62.46,97,100,2.48
36,Chuy,UY,2023-01-14 04:00:35,-33.6971,-53.4616,65.05,84,100,6.2
37,Jamestown,US,2023-01-14 03:57:17,42.097,-79.2353,24.03,61,99,8.01
38,Hermanus,ZA,2023-01-14 04:00:37,-34.4187,19.2345,64.18,85,65,4.27
39,Laguna,US,2023-01-14 04:00:38,38.421,-121.4238,55.06,95,75,8.05
40,Bredasdorp,ZA,2023-01-14 04:00:39,-34.5322,20.0403,64.81,79,72,1.79
41,Busselton,AU,2023-01-14 04:00:41,-33.65,115.3333,77.11,31,0,7.81
42,Centralina,BR,2023-01-14 04:00:42,-18.5839,-49.1994,70.86,94,100,3.47
43,Qaanaaq,GL,2023-01-14 04:00:43,77.484,-69.3632,2.16,70,100,5.46
44,Boa Vista,BR,2023-01-14 04:00:43,2.8197,-60.6733,76.98,78,40,10.36
45,Ileza,RU,2023-01-14 04:04:02,61.0533,43.9002,23.27,94,100,10.38
46,Saldanha,ZA,2023-01-14 04:04:03,-33.0117,17.9442,63.91,93,67,18.66
47,Makinsk,KZ,2023-01-14 04:04:05,52.6292,70.4169,11.89,80,100,13.33
48,Saint-Marc,HT,2023-01-14 04:04:06,19.1082,-72.6938,74.5,80,6,2.19
49,Tessalit,ML,2023-01-14 04:02:16,20.1986,1.0114,61.83,24,96,9.01
50,Areka,ET,2023-01-14 04:04:09,7.0667,37.7,56.28,46,55,5.53
51,Narsaq,GL,2023-01-14 04:04:10,60.9167,-46.05,12.42,72,99,11.14
52,Mar Del Plata,AR,2023-01-14 04:04:11,-38.0023,-57.5575,60.87,81,0,1.99
53,Khatra,IN,2023-01-14 04:04:13,22.9833,86.85,72.75,43,0,2.77
54,Adrar,MR,2023-01-14 04:04:15,20.5022,-10.0711,58.86,23,0,11.61
55,Mgandu,TZ,2023-01-14 04:04:15,-5.95,34.1333,60.21,96,100,3.31
56,Olafsvik,IS,2023-01-14 04:04:16,64.8945,-23.7142,27.64,78,96,21.85
57,Baloda Bazar,IN,2023-01-14 04:04:18,21.6667,82.1667,71.1,37,0,2.48
58,Ancud,CL,2023-01-14 04:04:19,-41.8697,-73.8203,52.83,83,69,3.09
59,Atasu,KZ,2023-01-14 04:04:19,48.6814,71.6433,-3.1,92,80,8.72
